Career_ID,Category,Career_Name,Min_Education,Preferred_Stream,Required_Degree,Entrance_Exams,Duration_Years,Key_Technical_Skills,Key_Soft_Skills,Entry_Salary_LPA,Mid_Salary_LPA,Senior_Salary_LPA,Job_Outlook,Top_Recruiters_India
C017,Information Technology,Frontend Developer,Bachelor's,Science Maths,B.Tech/BCA,JEE/University,3-4,"HTML/CSS, JavaScript, React/Vue, Responsive Design","Creativity, Attention to detail",3.5-6,8-15,15-25,Excellent,"TCS, Accenture, Flipkart, Swiggy, startups"
C018,Information Technology,Backend Developer,Bachelor's,Science Maths,"B.Tech/BCA/MCA",JEE/University,3-4,"Java/Python, Node.js, SQL/NoSQL, APIs, Microservices","Logical thinking, System design",4-7,10-18,20-32,Excellent,"Amazon, Microsoft, Goldman Sachs, Oracle"
C019,Information Technology,Mobile App Developer Android,Bachelor's,Science Maths,B.Tech/BCA,JEE/University,3-4,"Kotlin/Java, Android SDK, Firebase, Material Design","User focus, Problem-solving",3.5-6,8-15,15-28,Good,"Google, Samsung, Flipkart, Ola, Paytm"
C020,Information Technology,iOS Developer,Bachelor's,Science Maths,B.Tech/BCA,JEE/University,3-4,"Swift, iOS SDK, Xcode, Apple HIG","Attention to detail, Creativity",4-7,9-16,16-30,Good,"Apple, Swiggy, Zomato, Dream11, startups"
C021,Information Technology,DevOps Engineer,Bachelor's,Science Maths,B.Tech/BCA,JEE/University,3-4,"Docker, Kubernetes, Jenkins, AWS/Azure, CI/CD","Collaboration, Automation mindset",5-9,12-20,22-38,Excellent,"Amazon, Microsoft, Flipkart, Ola, ThoughtWorks"
C022,Information Technology,Cloud Architect,Bachelor's + Exp,Science Maths,"B.Tech + Certifications",Experience-based,6-8,"AWS/Azure/GCP, Cloud Security, Infrastructure as Code","Strategic thinking, Communication",15-25,25-40,40-70,Excellent,"All major IT companies, MNCs, FAANG"
C023,Information Technology,Database Administrator,Bachelor's,Science Maths,"B.Tech/BCA/MCA",JEE/University,3-4,"SQL, Oracle/MySQL/PostgreSQL, Performance Tuning, Backup/Recovery","Analytical, Methodical",3.5-6,7-12,12-20,Stable,"Oracle, IBM, banks, large enterprises"
C024,Information Technology,System Administrator,Bachelor's,Science Maths,B.Tech/BCA,University,3-4,"Linux/Windows Server, Networking, Scripting, Security","Troubleshooting, Patience",3-5,6-10,10-15,Stable,"Wipro, HCL, TCS, all mid-large companies"
C025,Information Technology,Quality Assurance Engineer,Bachelor's,Science Maths,B.Tech/BCA,University,3-4,"Manual Testing, Automation (Selenium), Test Planning, Bug Tracking","Attention to detail, Patience",3-5,6-10,10-16,Stable,"Infosys, TCS, Accenture, product companies"
C026,Information Technology,Technical Writer,Bachelor's,"Any (English preferred)",BA English/Technical Writing,Portfolio-based,3-4,"Documentation Tools, Technical Communication, API Docs","Writing clarity, Research",4-6,7-11,12-18,Growing,"Microsoft, Google, Oracle, Adobe, tech firms"
C027,Information Technology,Site Reliability Engineer,Bachelor's,Science Maths,B.Tech CS,JEE/University,3-4,"System Architecture, Automation, Monitoring, Incident Response","Problem-solving, Calm under pressure",6-10,14-22,25-40,Excellent,"Google, Amazon, Microsoft, LinkedIn, Uber"
C028,Information Technology,Salesforce Developer,Bachelor's,Any stream,"B.Tech/BCA + Salesforce Cert",Certification-based,3-4,"Apex, Visualforce, Lightning, SOQL, Salesforce Administration","Problem-solving, Client focus",4-7,8-15,15-25,Good,"Deloitte, Accenture, Wipro, HCL, Salesforce"
C029,Information Technology,SAP Consultant,Bachelor's,Any stream,"B.Tech/BCom + SAP Cert",Certification-based,3-4,"SAP Modules (FICO/MM/SD), ABAP, SAP Implementation","Business acumen, Communication",5-9,10-18,18-28,Good,"TCS, Infosys, Wipro, Capgemini, Accenture"
C030,Information Technology,Game Developer,Bachelor's,Science Maths,"B.Tech/BSc Game Dev","Portfolio/entrance",3-4,"Unity/Unreal, C#/C++, 3D Math, Game Physics","Creativity, Passion for gaming",3-6,7-13,12-22,Growing,"Ubisoft, Rockstar, EA, Nazara, Zynga"
C031,Core Engineering,Civil Engineer,Bachelor's,Science Maths,B.Tech/BE Civil,"JEE/State CET",4,"AutoCAD, STAAD Pro, Structural Analysis, Project Management","Leadership, Attention to detail",3-5,6-11,12-20,Stable,"L&amp;T, Shapoorji, Gammon, Tata Projects, DLF"
C032,Core Engineering,Structural Engineer,Master's,Science Maths,"B.Tech + M.Tech Structural",GATE,5-6,"ETABS, SAFE, Seismic Design, Finite Element Analysis","Precision, Analytical thinking",4-7,8-14,15-24,Good,"AECOM, Atkins, L&T, Jacobs, consultancies"
C033,Core Engineering,Mechanical Engineer,Bachelor's,Science Maths,B.Tech/BE Mechanical,"JEE/State CET",4,"CAD/CAM, Thermodynamics, Manufacturing Processes, FEA","Problem-solving, Practical approach",3-5,6-11,12-20,Stable,"Tata Motors, Mahindra, BHEL, L&T, Ashok Leyland"
C034,Core Engineering,Electrical Engineer,Bachelor's,Science Maths,B.Tech/BE Electrical,"JEE/State CET",4,"Circuit Design, Power Systems, PLC, MATLAB","Analytical, Safety consciousness",3-5,6-11,12-20,Stable,"Siemens, ABB, BHEL, PowerGrid, Tata Power"
C035,Core Engineering,Electronics Engineer,Bachelor's,Science Maths,B.Tech/BE ECE,"JEE/State CET",4,"VLSI, Embedded Systems, PCB Design, Communication Systems","Precision, Innovation",3.5-6,7-12,13-22,Good,"Samsung, Intel, Texas Instruments, Bosch, ISRO"
C036,Core Engineering,Chemical Engineer,Bachelor's,"Science Maths/Chem",B.Tech/BE Chemical,"JEE/State CET",4,"Process Design, Thermodynamics, Plant Safety, Simulation","Safety focus, Process thinking",4-7,8-14,15-25,Stable,"Reliance, ONGC, IOCL, P&G, Dr Reddy's"
C037,Core Engineering,Aerospace Engineer,Bachelor's,Science Maths,B.Tech/BE Aerospace,JEE/University,4,"Aerodynamics, Propulsion, CAD, MATLAB, Structural Analysis","Precision, Innovation",5-9,10-18,18-30,Growing,"ISRO, HAL, DRDO, Boeing, Airbus, Mahindra Aero"
C038,Core Engineering,Automobile Engineer,Bachelor's,Science Maths,B.Tech/BE Automobile,"JEE/State CET",4,"Vehicle Dynamics, CAD, Engine Design, EV Technology","Practical, Innovation",3.5-6,7-13,13-22,Good,"Tata Motors, Mahindra, Maruti Suzuki, Ashok Leyland"
C039,Core Engineering,Marine Engineer,Bachelor's,Science Maths,B.Tech Marine,IMU CET,4,"Naval Architecture, Ship Design, Marine Propulsion","Stamina, Adaptability",6-10,12-18,18-30,Good,"Shipping Corp, Navy, shipyards, offshore companies"
C040,Core Engineering,Mining Engineer,Bachelor's,Science Maths,B.Tech Mining,JEE/University,4,"Mine Planning, Blasting, Safety Systems, Geology","Risk management, Leadership",5-9,10-16,16-25,Stable,"Coal India, NMDC, Vedanta, HZL, private miners"
C041,Core Engineering,Petroleum Engineer,Bachelor's,Science Maths,B.Tech Petroleum,JEE/University,4,"Drilling Engineering, Reservoir Simulation, Production Tech","Analytical, Safety focus",6-12,15-25,25-40,Cyclical,"ONGC, Oil India, Cairn, Schlumberger, Halliburton"
C042,Core Engineering,Metallurgical Engineer,Bachelor's,Science Maths,B.Tech Metallurgy,JEE/University,4,"Material Science, Heat Treatment, Failure Analysis","Analytical, Process-oriented",4-7,8-14,14-22,Stable,"SAIL, Tata Steel, JSW, Hindalco, NALCO"
C043,Core Engineering,Textile Engineer,Bachelor's,Science Maths,B.Tech Textile,JEE/University,4,"Fabric Technology, Yarn Manufacturing, Quality Control","Attention to detail",3-5,6-10,10-16,Stable,"Arvind Mills, Raymond, Vardhman, Trident, Welspun"
C044,Core Engineering,Environmental Engineer,Bachelor's,Science Maths,B.Tech Environmental,JEE/University,4,"Waste Management, Pollution Control, EIA, Water Treatment","Sustainability focus",3.5-6,7-12,12-18,Growing,"CPCB, NGOs, consultancies, green tech firms"
C045,Core Engineering,Biomedical Engineer,Bachelor's,"Science PCB/Maths",B.Tech Biomedical,JEE/University,4,"Medical Devices, Biomaterials, Signal Processing, Imaging","Interdisciplinary thinking",4-7,8-13,13-21,Growing,"GE Healthcare, Siemens, Philips, Medtronic, hospitals"
C046,Emerging Technologies,Prompt Engineer,Bachelor's,"Any (Tech preferred)","Any degree + AI skills",Portfolio-based,3-4,"LLMs, Prompt Design, AI Ethics, Python basics","Creativity, Linguistic precision",8-15,18-30,30-50,Explosive,"Microsoft, Google, FAANG, AI startups"
C047,Emerging Technologies,AI Engineer,Bachelor's,Science Maths,"B.Tech CS/AI",JEE/GATE,4,"LLMs, PyTorch, Deep Learning, MLOps, Python","Analytical, Research mindset",8-18,20-35,35-60,Explosive,"Microsoft, Google, Amazon, FAANG, AI startups"
C048,Emerging Technologies,Machine Learning Engineer,Bachelor's,Science Maths,B.Tech CS/ML,JEE/GATE,4,"TensorFlow, Scikit-learn, ML Algorithms, Data Modeling","Problem-solving, Curiosity",7-15,16-28,28-45,Excellent,"Google, Amazon, Flipkart, Ola, Swiggy, Microsoft"
C049,Emerging Technologies,Data Scientist,Bachelor's,Science Maths,"B.Tech/BSc Stats","JEE/IIT JAM",3-4,"Python/R, SQL, Statistics, Machine Learning, Visualization","Analytical thinking, Storytelling",6-12,15-25,25-40,Excellent,"Amazon, Flipkart, Microsoft, Google, Mu Sigma"
C050,Emerging Technologies,Data Analyst,Bachelor's,"Any (Maths preferred)","B.Tech/BSc/BCom",University,3-4,"SQL, Excel, Tableau/Power BI, Python basics, Statistics","Business acumen, Communication",4-7,8-14,14-22,Excellent,"TCS, Accenture, Deloitte, EY, all companies"
C051,Emerging Technologies,AI Forensic Analyst,Master's,Science CS,"B.Tech + AI specialization",GATE/experience,5-6,"LLM Monitoring, Bias Detection, AI Safety, Digital Forensics","Ethics, Attention to detail",10-18,18-30,30-45,Emerging,"Cybersecurity firms, FAANG, government agencies"
C052,Emerging Technologies,Forward-Deployed Engineer,Bachelor's,Science CS,B.Tech CS,Campus placements,4,"AI Integration, Client Solutions, Full-stack, Cloud","Communication, Problem-solving",12-20,22-35,35-55,Emerging,"Palantir, FAANG, enterprise software companies"
C053,Emerging Technologies,Agentic Workflow Architect,Bachelor's,Science CS,"B.Tech/AI degree",Experience-based,5-7,"LangChain, AutoGPT, LLM Orchestration, API Design","Architecture thinking, Innovation",15-25,25-40,45-70,Emerging,"AI labs, FAANG, cutting-edge tech firms"
C054,Emerging Technologies,AI Infrastructure Engineer,Bachelor's,Science CS,B.Tech CS,GATE/experience,4-5,"GPU Clusters, Model Deployment, ML Ops, Kubernetes","System thinking, Performance focus",10-18,20-32,35-55,Growing,"NVIDIA, Google, Microsoft, AWS, AI research labs"
C055,Emerging Technologies,Robotics Engineer,Bachelor's,Science Maths,B.Tech Robotics,JEE/University,4,"ROS, Embedded Systems, Computer Vision, Kinematics","Innovation, Practical thinking",5-9,10-18,18-30,Growing,"Siemens, ABB, GreyOrange, Addverb, Systemantics"
C056,Emerging Technologies,AR/VR Developer,Bachelor's,Science Maths,B.Tech/BCA,Portfolio/entrance,3-4,"Unity/Unreal, 3D Modeling, Spatial Computing, C#","Creativity, User experience focus",4-8,9-15,15-25,Growing,"Meta, Microsoft, Magic Leap, Indian startups"
C057,Emerging Technologies,Blockchain Developer,Bachelor's,Science Maths,B.Tech/BCA,University,3-4,"Smart Contracts, Solidity, Web3, Cryptography, Ethereum","Innovation, Security focus",6-12,14-22,22-35,Growing,"Polygon, CoinDCX, WazirX, Tech Mahindra, IBM"
C058,Emerging Technologies,IoT Solutions Architect,Bachelor's,Science CS,B.Tech CS/ECE,Experience,5-7,"IoT Platforms, Sensor Networks, Edge Computing, MQTT","Solution design, Integration thinking",8-15,18-28,30-45,Growing,"Bosch, Siemens, Honeywell, Tata Elxsi, startups"
C059,Emerging Technologies,Edge Computing Engineer,Bachelor's,Science CS,B.Tech CS,University,4,"Edge AI, 5G, Kubernetes at Edge, Distributed Systems","Optimization mindset, Innovation",6-12,14-22,24-38,Growing,"Cloud providers, telecom, automotive, smart city firms"
C060,Emerging Technologies,Generative AI Specialist,Master's,Science CS,"B.Tech + MS/PhD",Research/experience,6-8,"GANs, VAEs, Transformers, Diffusion Models, Fine-tuning","Research mindset, Creativity",15-25,28-45,50-80,Explosive,"Google Brain, Microsoft Research, FAIR, DeepMind"
C061,Management,Business Analyst,Bachelor's,Any stream,BBA/B.Tech/MBA,CAT/XAT,4-5,"Excel, SQL, Tableau, Data Analysis, Requirement Gathering","Communication, Problem-solving",4-7,8-14,15-22,Excellent,"McKinsey, BCG, Bain, Deloitte, EY, KPMG"
C062,Management,Product Manager,Bachelor's,Any stream,"B.Tech/MBA",Experience-based,5-7,"Product Strategy, Roadmapping, Analytics, UX Basics","Leadership, Communication, Vision",12-20,22-35,40-60,Excellent,"Google, Microsoft, Amazon, Flipkart, Swiggy"
C063,Management,Project Manager,Bachelor's,Any stream,Any degree + PMP,"PMP/PRINCE2",5-8,"Project Planning, Risk Management, Agile/Scrum, JIRA","Leadership, Time management",7-12,14-22,25-35,Good,"All industries, MNCs, IT companies, construction firms"
C064,Management,Operations Manager,Bachelor's,Any stream,BBA/BCom/MBA,CAT/MAT,5-7,"Supply Chain, Inventory Management, Process Optimization","Problem-solving, Leadership",5-9,10-16,18-25,Good,"Amazon, Flipkart, manufacturing companies, logistics"
C065,Management,Human Resources Manager,Master's,Any stream,BA/BBA + MBA HR,CAT/XAT,5-6,"Recruitment, Performance Management, HR Policies, Payroll","Empathy, Communication, Confidentiality",5-8,9-15,16-23,Good,"All MNCs, IT companies, corporates, consulting firms"
C066,Management,Talent Acquisition Specialist,Bachelor's,Any stream,BA/BBA/MBA HR,University,4-5,"Sourcing, Interviewing, Negotiation, HR Tech","Communication, Networking",4-7,8-12,13-18,Good,"Recruitment firms, MNCs, IT companies, startups"
C067,Management,Training and Development Manager,Master's,Any stream,BA/BBA + MBA HR,CAT/XAT,5-6,"Learning Design, Training Delivery, LMS, Assessment","Presentation, Coaching",5-8,9-14,15-22,Good,"Corporates, MNCs, training consultancies, institutions"
C068,Management,Supply Chain Manager,Bachelor's,Science/Commerce,BBA/BTech/MBA,Entrance/GATE,5-7,"Logistics, Inventory, Demand Planning, SCM Software","Analytical, Problem-solving",5-9,10-17,18-26,Good,"Amazon, Flipkart, ITC, HUL, Procter & Gamble"
C069,Management,Operations Research Analyst,Master's,Science Maths,"BSc/MSc/M.Tech",GATE/entrance,5-6,"Optimization, Simulation, Mathematical Modeling, Python","Analytical, Problem-solving",5-9,10-15,16-22,Good,"Consulting firms, logistics, airlines, manufacturing"
C070,Management,Risk Manager,Master's,Commerce/Maths,"BCom/BBA + MBA/FRM",FRM/CAT,5-7,"Risk Modeling, Financial Analysis, Regulatory Compliance","Analytical, Decision-making",7-12,14-22,24-35,Good,"Banks, financial institutions, insurance companies"
C071,Management,Quality Manager,Bachelor's,Any stream,Any degree + Six Sigma,Six Sigma cert,5-8,"Quality Audits, Six Sigma, Lean, Process Improvement","Attention to detail, Leadership",5-9,10-15,16-23,Good,"Manufacturing, IT, service industries, healthcare"
C072,Management,Management Consultant,Master's,Any stream,BTech/MBA (Tier 1),CAT/XAT,6-8,"Data Analysis, Strategy, Presentation, Problem-solving","Communication, Analytical thinking",12-20,22-35,40-60,Excellent,"McKinsey, BCG, Bain, Deloitte, PwC, EY"
C073,Management,Corporate Strategist,Master's,Any stream,MBA from top school,CAT/XAT,6-8,"Strategic Planning, Market Analysis, Financial Modeling","Visionary, Leadership",15-25,28-42,50-75,Good,"Fortune 500 companies, MNCs, consulting firms"
C074,Management,Entrepreneur,Varies,Any stream,Any degree,Varies,Varies,"Business Planning, Marketing, Finance, Leadership","Risk-taking, Resilience, Vision",Varies,Varies,Varies,Varies,"Self, startup ecosystem, investors"
C075,Management,Chief Technology Officer,Master's + Exp,Science CS,"B.Tech + MBA/experience",Career progression,12-15,"Technology Strategy, Architecture, Team Leadership, Innovation","Leadership, Vision, Communication",30-50,60-90,1Cr+,Excellent,"All tech companies, startups, MNCs"
C076,Banking Finance,Investment Banker,Master's,Commerce/Maths,"BCom/BBA + MBA",CAT/CFA,6-7,"Financial Modeling, Valuation, Deal Execution, Excel","Analytical, Negotiation, Stamina",10-18,20-35,40-70,Good,"Goldman Sachs, Morgan Stanley, JP Morgan, Kotak, ICICI"
C077,Banking Finance,Chartered Accountant,Bachelor's,Commerce with Maths,"BCom + CA",CA Foundation/IPCC/Final,4-5,"Accounting, Taxation, Auditing, Financial Reporting","Integrity, Analytical, Detail-oriented",6-9,12-18,20-35,Excellent,"Big 4, banks, corporates, consulting firms"
C078,Banking Finance,Financial Analyst,Bachelor's,Commerce/Maths,BCom/BBA/BTech,University,3-4,"Financial Analysis, Excel, Valuation, Research","Analytical, Communication",4-7,8-14,15-22,Good,"Investment banks, mutual funds, equity research firms"
C079,Banking Finance,Wealth Manager,Bachelor's,Commerce,Any degree + NISM/CWM,NISM/CWM,4-6,"Portfolio Management, Financial Planning, Investment Advisory","Client relationship, Communication",5-9,10-16,18-26,Good,"Private banks, wealth management firms, NBFCs"
C080,Banking Finance,Risk Analyst,Master's,Commerce/Maths,BCom/BBA/MBA,FRM/CAT,5-7,"Risk Modeling, Derivatives, Statistical Analysis, SAS","Analytical, Detail-oriented",5-8,9-15,16-24,Good,"Banks, financial institutions, consulting firms"
C081,Banking Finance,Credit Analyst,Bachelor's,Commerce,BCom/BBA,University,3-4,"Credit Assessment, Financial Analysis, Underwriting","Analytical, Decision-making",4-7,8-13,14-20,Good,"Banks, NBFCs, credit rating agencies"
C082,Banking Finance,Relationship Manager,Bachelor's,Commerce,Any degree + MBA,CAT/MAT,4-6,"Sales, Customer Service, Financial Products, CRM","Communication, Relationship building",4-8,9-15,16-23,Good,"Banks, wealth management, insurance companies"
C083,Banking Finance,Stock Broker,Bachelor's,Commerce,Any degree + NISM,NISM certifications,3-4,"Trading, Market Analysis, Client Advisory, Risk Management","Decision-making, Communication",4-7,8-14,15-25,Cyclical,"Zerodha, ICICI Direct, HDFC Securities, Motilal Oswal"
C084,Banking Finance,Mutual Fund Manager,Master's,Commerce/Maths,"MBA/CFA/CA",CFA/CAT,7-10,"Portfolio Management, Research, Asset Allocation, Risk Analysis","Decision-making, Analytical",20-35,40-60,75-120,Good,"SBI MF, HDFC MF, ICICI MF, Kotak MF, Reliance MF"
C085,Banking Finance,Actuary,Master's,Science Maths,BSc/MSc + Actuarial Exams,Actuarial exams,6-8,"Probability, Statistics, Risk Modeling, Financial Mathematics","Analytical, Precision",8-15,18-28,30-50,Excellent,"Insurance companies, consulting firms, LIC, GIC"
C086,Banking Finance,Insurance Underwriter,Bachelor's,Commerce,Any degree + IIB,IIB certification,3-4,"Risk Assessment, Policy Analysis, Underwriting Guidelines","Analytical, Decision-making",3-6,7-12,13-18,Stable,"Insurance companies (LIC, ICICI Prudential, HDFC Life)"
C087,Banking Finance,Treasury Manager,Master's,Commerce/Maths,"MBA/CA/CFA",Experience,6-8,"Cash Management, Liquidity, Forex, Investments","Decision-making, Risk awareness",8-15,16-25,28-40,Good,"Banks, large corporates, MNCs"
C088,Banking Finance,Corporate Banker,Master's,Commerce/Maths,MBA Finance,CAT/CFA,6-7,"Corporate Lending, Trade Finance, Working Capital, Relationship","Relationship building, Deal-making",8-15,16-26,30-45,Good,"Corporate banking divisions of major banks"
C089,Banking Finance,Private Equity Analyst,Master's,Commerce/Maths,"MBA/CA/CFA",Tier-1 recruitment,6-8,"Deal Sourcing, Due Diligence, Financial Modeling, Valuation","Analytical, Networking",15-25,30-45,50-80,Good,"PE firms (Blackstone, KKR, Carlyle), VC firms"
C090,Banking Finance,Treasury Analyst,Bachelor's,Commerce/Maths,BCom/BBA,University,3-4,"Cash Flow, Risk Management, Financial Analysis, Excel","Analytical, Detail-oriented",4-6,7-11,12-16,Good,"Corporates, banks, financial institutions"
C091,Government,IAS Officer,Bachelor's,Any stream,Any Graduate Degree,UPSC CSE,1-2 prep,"Administration, Policy Making, Law, Public Relations","Leadership, Integrity, Decision-making",0.7-1.2,1.5-2.5,2.5-3.5,Excellent,"Government of India, State Governments"
C092,Government,IPS Officer,Bachelor's,Any stream,Any Graduate Degree,UPSC CSE,1-2 prep,"Criminology, Law, Investigation, Public Safety","Courage, Leadership, Integrity",0.7-1.2,1.5-2.5,2.5-3.5,Excellent,"State Police, CBI, IB, RAW"
C093,Government,IFS Officer,Bachelor's,Any stream,Any Graduate Degree,UPSC CSE,1-2 prep,"International Relations, Diplomacy, Foreign Languages","Communication, Cultural sensitivity, Patience",0.7-1.2,1.5-2.5,2.5-3.5,Excellent,"Ministry of External Affairs, Indian Embassies"
C094,Government,IRS Officer,Bachelor's,Any stream,Any Graduate Degree,UPSC CSE,1-2 prep,"Taxation, Accounting, Investigation, Law","Integrity, Analytical, Detail-oriented",0.7-1.2,1.5-2.5,2.5-3.5,Excellent,"Income Tax Dept, Customs, GST departments"
C095,Government,IES Officer,Master's,Economics,MA Economics,UPSC IES,1-2 prep,"Economic Analysis, Policy, Statistics, Research","Analytical, Research mindset",0.8-1.3,1.6-2.6,2.6-3.6,Excellent,"Ministry of Finance, NITI Aayog, RBI"
C096,Government,Indian Forest Service Officer,Bachelor's,Science with Biology,BSc + UPSC,UPSC IFS,1-2 prep,"Forestry, Wildlife Management, Ecology, Conservation","Environmental passion, Leadership",0.7-1.2,1.5-2.5,2.5-3.5,Good,"Ministry of Environment, Forest departments"
C097,Government,State Civil Services Officer,Bachelor's,Any stream,Any Graduate Degree,State PSC exams,1-2 prep,"Administration, Policy Implementation, Public Service","Leadership, Problem-solving",0.6-1.0,1.2-2.0,2.0-3.0,Good,"State Government departments"
C098,Government,Government Teacher,Bachelor's + BEd,Any stream,BA/BSc + BEd,"TET, CTET",5-6,"Subject Knowledge, Lesson Planning, Classroom Management","Patience, Communication",0.4-0.7,0.8-1.2,1.2-1.8,Stable,"KVS, NVS, State Government Schools"
C099,Government,Government Doctor,PG Degree,Science PCB,MBBS + PG,NEET-PG,7-9,"Medical Practice, Patient Care, Public Health","Empathy, Dedication",0.8-1.5,1.5-2.5,2.5-3.5,Good,"CGHS, ESIC, State Health Services, AIIMS"
C100,Government,Government Engineer,Bachelor's,Science Maths,B.Tech/BE,GATE/State exams,4-5,"Engineering Design, Project Management, Public Works","Technical competence, Integrity",0.6-1.0,1.2-1.8,1.8-2.5,Good,"CPWD, PWD, Railways, Public Sector Units"
C101,Government,RBI Officer,Master's,Economics/Commerce/Maths,MA/MCom/MSc,RBI Grade B,5-6,"Monetary Policy, Banking Regulation, Economic Analysis","Analytical, Decision-making",0.8-1.5,1.8-2.8,3.0-4.0,Excellent,"Reserve Bank of India"
C102,Government,Public Sector Bank Manager,Bachelor's,Any stream,Any Graduate Degree,IBPS PO,4-5,"Banking Operations, Customer Service, Financial Products","Leadership, Communication",0.6-1.0,1.2-1.8,1.8-2.5,Good,"SBI, PNB, Bank of Baroda, Canara Bank"
C103,Government,Diplomat,Bachelor's,Any stream,Any Graduate Degree,UPSC CSE/IFS,1-2 prep,"International Relations, Negotiation, Protocol","Cultural intelligence, Communication",0.8-1.3,1.6-2.6,2.6-3.8,Excellent,"Ministry of External Affairs, Indian Missions"
C104,Government,Railway Officer,Bachelor's,Any stream,Any Graduate Degree,RRB exams,4-5,"Railway Operations, Management, Administration","Leadership, Problem-solving",0.6-1.0,1.2-1.8,1.8-2.5,Good,"Indian Railways"
